No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1,31/05/2023,Vente,135390.0,53.0,,AV,0300,DU DOC JACQUES ARNAUD,74300.0,CLUSES,74,81,,A,4549,,14.0,,52.0,"46,18",,,,,,,2,3.0,Dépendance,0.0,0.0,,,
1,06/07/2023,Vente,595230.0,,,,B985,CHEZ COPPIER,74370.0,FILLIERE,74,282,204.0,A,1603,,,,,,,,,,,,0,,,,,T,,263.0
1,24/08/2023,Vente,78000.0,29.0,,RUE,1901,DU 141 RIA,13003.0,MARSEILLE 3EME,13,203,812.0,C,122,,98.0,"22,29",,,,,,,,,1,2.0,Appartement,22.0,1.0,,,
1,26/01/2023,Vente,852200.0,271.0,,RUE,0460,D YPRES,59237.0,VERLINGHEM,59,611,,B,560,,,,,,,,,,,,0,1.0,Maison,121.0,4.0,AG,,3330.0
1,06/10/2023,Vente,121938.0,,,,C117,LA SANGLE,44450.0,DIVATTE-SUR-LOIRE,44,29,8.0,L,146,,,,,,,,,,,,0,,,,,P,,1259.0
1,21/12/2023,Vente,263850.0,16.0,,TRA,1388,DE LA PLAINE,13600.0,LA CIOTAT,13,28,,AV,199,,22.0,,7.0,,,,,,,,2,3.0,Dépendance,0.0,0.0,,,
1,20/06/2023,Vente,182000.0,8.0,,BD,0550,DE LA PAIX,4160.0,CHATEAU-ARNOUX-SAINT-AUBAN,4,49,,AI,147,,,,,,,,,,,,0,1.0,Maison,84.0,5.0,S,,832.0
1,27/12/2023,Vente,150000.0,,,,E999,LE PRE DES EXCLUSAGES,50250.0,LA HAYE,50,236,586.0,B,151,,,,,,,,,,,,0,,,,,P,,3714.0
1,20/07/2023,Vente,220000.0,7.0,,AV,4751,JEAN MOULIN,93200.0,SAINT-DENIS,93,66,,T,88,,12,,3,"67,65",,,,,,,2,2.0,Appartement,70.0,3.0,,,
1,15/06/2023,Vente,3685.0,,,,B008,LES CALVENNES,60140.0,VERDERONNE,60,669,,C,350,,,,,,,,,,,,0,,,,,BS,,1194.0
1,27/01/2023,Vente,358000.0,9.0,,RUE,0949,DU LANDREAU,44700.0,ORVAULT,44,114,,CB,172,,11.0,"100,49",,,,,,,,,1,1.0,Maison,100.0,4.0,,,
1,20/03/2023,Vente,110000.0,,,,B029,KERNEVEZ,29690.0,BERRIEN,29,7,,B,1298,,,,,,,,,,,,0,,,,,T,,330.0
1,10/03/2023,Vente,1718000.0,36.0,,CHE,0040,DU BARTHELEMY,69260.0,CHARBONNIERES-LES-BAINS,69,44,,AI,486,,,,,,,,,,,,0,3.0,Dépendance,0.0,0.0,S,,656.0
1,03/07/2023,Vente,94000.0,6.0,,RUE,0598,VALERY LARBAUD,66750.0,SAINT-CYPRIEN,66,171,,AO,524,,16,,,,,,,,,,1,3.0,Dépendance,0.0,0.0,,,
